Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
9.76,649.1466667,676.9113333,480.0753333,436.125,580.046,519.6193333,496.5003333,471.7146667,652.824,757.6633333,640.1123333,669.039,569.6186667,505.451
9.987,640.403,669.513,468.8116667,442.5,589.852,517.4853333,494.3773333,482.117,648.477,698.167,642.2876667,659.651,570.9916667,508.7553333
10.214,655.9193333,660.3253333,493.991,452.8936667,582.9346667,520.4303333,506.5393333,477.0006667,637.3563333,705.5786667,623.665,650.8103333,573.9593333,503.9073333
10.441,667.6783333,679.046,520.4756667,454.3486667,592.7813333,493.2193333,521.7496667,475.9846667,607.7573333,724.7833333,613.9703333,619.0193333,565.9413333,538.8023333
10.668,644.5923333,669.241,507.5036667,459.966,585.44,489.6626667,518.9706667,479.4443333,597.3063333,720.6573333,626.3856667,604.6153333,549.3093333,541.8996667
10.895,629.1193333,668.506,500.961,466.159,567.9493333,516.6396667,517.4753333,479.683,623.7323333,730.9646667,630.5136667,599.5943333,544.982,517.2143333
11.122,634.9623333,673.7066667,518.3246667,460.345,565.109,540.735,522.9803333,463.363,637.9426667,697.5576667,645.2036667,604.3453333,557.6036667,509.2283333
11.349,628.0473333,676.7036667,532.2896667,458,587.946,539.4926667,538.76,467.386,666.2883333,717.8876667,658.0853333,615.3503333,581.229,525.4843333
11.576,624.8663333,695.5006667,531.467,453.875,577.705,503.171,551.5,480.1256667,672.9216667,754.6793333,641.144,626.797,585.1393333,527.0573333
11.803,625.1316667,682.5556667,515.724,455.674,555.1856667,481.6506667,530.799,474.9476667,633.3513333,703.1523333,612.495,646.2953333,568.17,534.4503333
12.03,618.5453333,672.768,501.399,454.765,569.752,483.8986667,512.3826667,470.989,635.695,714.269,598.717,657.4846667,573.9666667,547.28
12.257,614.033,685.8543333,484.3843333,442.591,581.806,492.196,511.402,450.7916667,645.5026667,740.542,609.869,652.3883333,564.314,544.812
12.484,634.9823333,700.0803333,485.032,448.4166667,597.8263333,507.337,522.0196667,437.6766667,642.6763333,778.7423333,629.031,653.1813333,563.098,513.5316667
12.711,644.3073333,678.287,493.7163333,453.7046667,593.9696667,501.6673333,523.7743333,446.7086667,638.788,728.33,643.5856667,657.6533333,565.625,527.2243333
12.938,641.445,682.117,482.8816667,444.875,577.6333333,521.867,505.9706667,431.7446667,644.1143333,721.138,626.5043333,647.4083333,561.0263333,543.3296667
13.165,636.5426667,683.4736667,487.442,434.9093333,588.781,525.6323333,486.99,433.4076667,641.918,740.036,606.0996667,632.288,558.5766667,496.3666667
13.392,641.155,677.547,493.9776667,432.5643333,575.2903333,512.599,490.7353333,440.7486667,635.7403333,751.1666667,606.0986667,632.4043333,543.021,498.298
13.619,632.6656667,683.812,493.0453333,444.3033333,560.5306667,543.6573333,500.7893333,447.955,669.4773333,735.652,613.523,644.64,541.4913333,532.8263333
13.846,611.4133333,726.277,513.9403333,458.4846667,548.1543333,534.5853333,505.0293333,448.4993333,653.4083333,713.1186667,617.8986667,661.3783333,547.55,495.533
14.073,605.1903333,757.131,517.971,455.2273333,540.638,502.976,512.6863333,426.654,633.4866667,721.8366667,626.943,656.1226667,551.2973333,508.7896667
14.3,604.9703333,731.125,492.9836667,449.7993333,561.4253333,516.0743333,506.0193333,447.2036667,658.356,728.9453333,621.6946667,648.691,553.32,519.0443333
14.527,606.8363333,716.7926667,478.6976667,458.9546667,573.7806667,513.382,489.0536667,450.2053333,651.7126667,730.868,619.947,668.0673333,557.6346667,525.6523333
14.754,590.3093333,700.679,485.911,462.019,565.5516667,506.7243333,490.5783333,455.8416667,640.339,754.2346667,607.6466667,642.6963333,562.051,513.798
14.981,598.628,684.1,480.428,441.3333333,558.05,527.5133333,510.8676667,460.6153333,626.2176667,744.6653333,599.484,621.349,560.6176667,507.9273333
15.208,634.6506667,689.525,470.063,434.095,544.839,515.8446667,508.069,452.5933333,646.7896667,715.319,621.123,642.3386667,551.9056667,518.994
15.435,651.2993333,694.575,478.5953333,443.856,559.5923333,513.843,484.25,447.1946667,663.523,697.9533333,606.209,651.3516667,548.9733333,548.724
15.662,639.177,683.494,486.546,438.5606667,587.6846667,511.7386667,480.2153333,427.5033333,670.3733333,686.5633333,582.591,645.973,551.5846667,562.997
