Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,mCherry_gray_avg_wd1,mCherry_gray_avg_wd2,mCherry_gray_avg_wd3,mCherry_gray_avg_wd5,mCherry_gray_avg_wd6,mCherry_gray_avg_wd6,mCherry_gray_avg_wd8
43.808,721.284,646.87,547.971,509.015,505.0886667,637.864,473.9313333,457.6136667,,,,,,,
44.035,735.1873333,646.268,550.3593333,489.1816667,518.9796667,611.024,498.7796667,446.575,,,,,,,
44.262,755.7106667,663.956,551.3906667,493.61,497.1343333,581.8873333,523.6766667,436.8033333,,,,,,,
44.489,753.5513333,678.91,541.8193333,532.8106667,509.2716667,585.2306667,522.3726667,450.9226667,,,,,,,
44.716,752.5803333,679.327,538.4693333,540.337,499.4836667,595.6256667,506.2253333,469.3153333,,,,,,,
44.943,754.2486667,658.7336667,551.271,517.5,488.8276667,597.9006667,508.9506667,461.7683333,,,,,,,
45.17,755.084,641.538,562.2146667,509.0833333,490.895,567.983,511.559,441.0203333,,,,,,,
45.397,761.2796667,646.6203333,557.2573333,504.1893333,522.905,576.6576667,507.9703333,438.7896667,,,,,,,
45.624,765.1166667,651.9106667,547.004,485.2613333,546.095,593.092,505.451,447.4756667,,,,,,,
45.851,759.2116667,645.8326667,551.5256667,489.273,515.462,573.0983333,498.6616667,466.3003333,,,,,,,
46.078,754.242,631.388,558.1366667,502.924,492.2063333,561.8866667,502.1373333,458.3483333,,,,,,,
46.305,766.3263333,632.1566667,545.509,517.879,536.4133333,566.1146667,498.8333333,454.3493333,,,,,,,
46.532,768.0406667,642.7913333,561.5443333,534.4923333,513.077,564.729,487.7156667,442.2413333,,,,,,,
46.759,752.496,649.5163333,549.2846667,529.212,512.8183333,567.238,492.799,447.9346667,,,,,,,
46.986,757.7403333,648.402,553.0553333,520.97,518.421,595.2116667,513.755,497.7756667,,,,,,,
47.213,774.973,642.197,567.217,520.7653333,529.44,587.418,515.1616667,459.9023333,,,,,,,
47.44,776.7206667,648.7933333,580.7603333,529.875,523.905,573.1926667,502.8626667,475.3216667,,,,,,,
47.667,773.796,668.6996667,558.7933333,532.409,564.1783333,582.108,504.2353333,473.818,,,,,,,
47.894,788.6333333,670.993,542.187,535.7273333,482.6716667,569.0203333,515.2156667,468.3453333,,,,,,,
48.121,796.2413333,648.7706667,561.357,532.841,504.746,564.1443333,521.005,446.8106667,,,,,,,
48.348,796.7836667,624.741,573.775,523.0986667,513.9943333,563.6936667,515.157,450.029,,,,,,,
48.575,785.5176667,644.565,564.5096667,524.9696667,521.1346667,571.5683333,517.24,466.469,,,,,,,
48.802,772.452,672.8863333,547.552,519.712,545.975,591.7783333,517.235,478.7763333,,,,,,,
49.029,779.4143333,678.9073333,541.432,530.1366667,534.963,592.453,521.0486667,454.3483333,,,,,,,
49.256,784.299,663.1453333,564.015,545.4696667,504.5193333,602.629,525.059,458.555,,,,,,,
49.483,794.387,659.7446667,568.8293333,541.803,493.691,589.5713333,522.9656667,466.4816667,,,,,,,
49.71,798.867,684.3283333,548.746,544.5343333,517.1153333,584.5786667,524.2646667,476.0023333,,,,,,,
49.937,800.205,693.4516667,538.73,534.5,511.082,593.7643333,523.4216667,466.0636667,,,,,,,
50.164,805.8483333,674.907,540.7596667,523.0493333,532.6453333,594.545,532.5,473.414,,,,,,,
50.391,814.586,652.9643333,568.737,530.1513333,507.216,594.9166667,526.799,454.4846667,,,,,,,
50.618,823.9376667,662.8176667,563.5533333,546.0606667,497.3746667,588.7776667,525.3036667,465.0356667,,,,,,,
