"","disc1-WT-Avg","disc2-WT-Avg","disc3-WT-Avg","disc4-WT-Avg","disc5-WT-Avg","disc6-WT-Avg","disc7-WT-Avg","disc8-WT-Avg","disc10-WT-Avg","disc11-WT-Avg","disc12-WT-Avg","disc13-WT-Avg","disc15-WT-Avg"
"115",204.5135,133.575,258.3485,191.956,333.5,289.5,445.2195,297.2145,95.138,187,240.629,198,6.7755
"116",272.0135,194.5835,276.0405,167.524,384,251,435.995,331.7705,126.269,125,316.1205,123,-59.891
"117",267.034,211.5,336.0235,245.954,324,278.5,551.568,303.9865,131.092,124,193.894,77,29.2585
"118",292.527,220.937,318.347,222.6225,356.5,429,347.6785,341,188.8165,67.5,179.576,107,-20.9185
"119",240.605,280.4355,305.7395,145.0135,343.5,415.5,507.556,301.9795,177.667,-10,244.1835,256.5,-60.534
"120",341.891,395.0615,252.9045,225.4525,363,422,388.199,217.017,159.7045,120.5,213.9625,105,20.044
"121",332.7445,389.8335,296.869,232.25,385.5,351.5,497.7295,273.228,251.944,144,253.619,242,-34.8825
"122",284.8805,273.75,424.6835,424.126,354,346.5,581.2635,207.5835,135.415,179.5,257.5645,217.5,5.864
"123",283.488,322.857,401.539,212.352,479.5,393.5,619.0185,287.517,221.798,162,225.136,196,-37.296
"124",418.1565,367.9865,352.755,149.687,364,433.5,579.9335,211.519,262.8165,131,238.241,224.5,-6.551
"125",424.8655,163.619,539.0205,192.039,433,561.5,617.483,199.4595,282.9405,156.5,190.656,183,-60.32
"126",452.01,217.1175,400.2755,236.8675,418.5,429.5,601.08,325.461,299.0715,130,219.4675,366,-40
"127",408.476,289.32,424.095,230.5475,410,455.5,562.699,380.963,279.332,144,198.687,291,33.25
"128",482.34,220.9525,578.7755,202.177,452.5,513.5,596.8725,289.7365,356.8505,187,282.2515,246.5,116.9625
"129",449.8875,221.949,414.481,260.7295,417.5,492,653.1785,282.548,266.9865,217.5,263.071,251,140.1715
"130",500.8095,249.9645,469.8435,211.956,441.5,463,647.444,310.369,360.7245,208,274.143,168.5,158.704
"131",524.932,308.677,486.6735,225.024,485.5,601,629.847,318.2215,350.1705,154,304.809,229.5,150.0865
"132",727.3265,247.087,609.146,245.408,486,495,720.74,327.3845,255.1805,174.5,291.714,368,114.9555
"133",520.5015,206.0955,551.2565,334.541,398,597.5,868.684,285.565,338.5,209.5,252.347,287.5,70.4845
"134",623.054,185.9525,503.357,251.983,380.5,581.5,863.403,404.8775,275.0715,337.5,243.165,268,172.347
"135",516.0185,284.102,499.0065,286.039,433,507,614.039,401.517,325.9015,326,199.983,242.5,92.2125
"136",477.874,256.767,738.847,263.847,461.5,582.5,731.6785,427.9765,283.245,213.5,327.447,373.5,114.408
"137",613.6205,285.9285,746.648,335.9165,552.5,557,704.755,277.007,330.631,329.5,331.3195,297,154.2875
"138",571.2855,247.9185,834.976,245.772,443,487,832.012,365.308,384.0445,174,292.2685,304,161.813
"139",601.1735,288.6465,675.796,291.0155,571.5,577.5,850.5665,446.228,344.6075,256.5,245.524,330.5,137.2905
"140",574.085,213.4675,714.0205,348.5035,595.5,492.5,907.097,386.859,358.2385,299.5,339.4795,251,209.3435
"141",689.5595,277.857,723.0235,323.5015,569,543.5,818.359,390.7725,413.4525,407,244.262,412,174.59
"142",633.2925,286.3775,578.102,402.5135,465,601,934.444,384.4935,295.286,334.5,308.682,363.5,131.5205
"143",637.5135,322.289,632.4745,384.5545,485,548.5,836.107,440.4765,403.109,345.5,280.0405,311,205.3385
"144",693.054,418.1785,701.153,411.5985,576,556,908.5765,449.165,416.15,209,331.129,385.5,243.4185
"145",586.3095,273.9865,760.432,446.2295,472.5,584.5,944.046,385.6905,475.8115,395.5,309.9285,269,187.505
"146",613.401,355.007,806.4795,337.789,596.5,539,895.655,578.024,440.531,446,354.6905,442,236.2415
"147",599.9115,334.8675,761.4435,490.3775,533,499.5,928.0595,442.6805,459.131,400.5,350.112,317.5,276.9385
"148",585.146,388.182,857.5,419.9865,513.5,617,934.5665,491.7265,535.786,457,358.874,302.5,308.908
"149",687.3755,436.8945,714.8925,327.636,604,549.5,925.194,575.888,498.301,394.5,287.054,406,296.061
"150",619.4795,384.3625,761.7755,378.847,490.5,620.5,887.672,624.8335,471.575,723.5,338.411,361,340.932
"151",696.8585,607.5715,746.435,389.0035,586,497,1031.311,540.099,492.679,597,405.17,502,285.061
"152",694.085,430.2415,694.357,421.0955,618.5,682.5,899.937,727.456,581.2245,737.5,381.121,259,306.799
"153",702.034,427.1125,889.3025,467.837,619,540.5,987.4765,667.966,670.65,800.5,371.367,349.5,306.2565
"154",623.9895,600.8165,826.248,559.779,649,525.5,1113.6175,691.5765,544.429,703,417.7495,420,378.8675
"155",706.9115,654.289,829.714,494.881,562.5,773.5,1038.7945,682.1735,610.109,648.5,404.935,344,323.959
"156",670.7445,549.2805,890.9115,530.3945,644.5,632,1095.9675,749.6755,578.092,732.5,412.454,411,311.6495
"157",744.8605,569.7485,744.1615,675.772,650.5,709,1087.362,731.1195,594.245,605.5,449.415,362.5,324.0815
"158",792.8095,743.155,917.867,563.3505,579.5,638.5,1022.403,893.963,682.779,588,323.1325,336.5,349.799
"159",863.1545,686.102,870.1765,502.58,626.5,691,1102.7095,833.854,516.422,548,341.483,382.5,384.0745
